id,budget,loss,planner,model_based
"(0, 0, 0)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 1)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 2)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 3)",0.3333333333333333,100010.49312532794,SST,0
"(0, 0, 4)",0.3333333333333333,464.4666666666667,RRTstar,0
"(0, 0, 4)",0.9999999999999999,941.5666666666666,RRTstar,0
"(0, 0, 5)",0.3333333333333333,293.40000000000003,LBTRRT,0
"(0, 0, 5)",0.9999999999999999,251.5,LBTRRT,0
"(0, 0, 6)",0.3333333333333333,149.9333333333333,RRTstar,0
"(0, 0, 6)",0.9999999999999999,153.36666666666665,RRTstar,0
"(0, 0, 6)",3.0000000000000004,299.3,RRTstar,0
"(0, 0, 7)",0.3333333333333333,189.9666666666667,RRTXstatic,0
"(0, 0, 7)",0.9999999999999999,211.39999999999998,RRTXstatic,0
"(0, 0, 8)",0.3333333333333333,200.39999999999998,RRTstar,0
"(0, 0, 8)",0.9999999999999999,373.8666666666666,RRTstar,0
"(0, 0, 9)",0.3333333333333333,180.06666666666663,LBTRRT,0
"(0, 0, 9)",0.9999999999999999,260.90000000000003,LBTRRT,0
"(0, 0, 10)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 11)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 12)",0.3333333333333333,213.76666666666665,LBTRRT,0
"(0, 0, 12)",0.9999999999999999,338.5333333333333,LBTRRT,0
"(0, 0, 13)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 14)",0.3333333333333333,145.29999999999998,RRTstar,0
"(0, 0, 14)",0.9999999999999999,158.86666666666665,RRTstar,0
"(0, 0, 14)",3.0000000000000004,329.7,RRTstar,0
"(0, 0, 15)",0.3333333333333333,100009.93603759228,SST,0
"(0, 0, 16)",0.3333333333333333,100011.4392604538,SST,0
"(0, 0, 17)",0.3333333333333333,100010.40795484243,SST,0
"(0, 0, 18)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 19)",0.3333333333333333,138.16666666666666,RRTstar,0
"(0, 0, 19)",0.9999999999999999,156.0666666666667,RRTstar,0
"(0, 0, 19)",3.0000000000000004,212.9333333333333,RRTstar,0
"(0, 0, 20)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 21)",0.3333333333333333,31.666666666666668,AITstar,0
"(0, 0, 21)",0.9999999999999999,31.0,AITstar,0
"(0, 0, 21)",3.0000000000000004,33.0,AITstar,0
"(0, 0, 21)",9.0,99.25,AITstar,0
"(0, 0, 22)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 23)",0.3333333333333333,213.66666666666666,AITstar,0
"(0, 0, 23)",0.9999999999999999,471.1666666666667,AITstar,0
"(0, 0, 24)",0.3333333333333333,52.56666666666666,AITstar,0
"(0, 0, 24)",0.9999999999999999,153.03333333333333,AITstar,0
"(0, 0, 24)",3.0000000000000004,1228.7666666666667,AITstar,0
"(0, 0, 25)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 26)",0.3333333333333333,401.2,AITstar,0
"(0, 0, 26)",0.9999999999999999,1212.1333333333332,AITstar,0
"(0, 0, 27)",0.3333333333333333,222.63333333333335,RRTstar,0
"(0, 0, 27)",0.9999999999999999,139.46666666666667,RRTstar,0
"(0, 0, 27)",3.0000000000000004,372.0,RRTstar,0
"(0, 0, 28)",0.3333333333333333,165.9333333333333,RRTXstatic,0
"(0, 0, 28)",0.9999999999999999,150.23333333333332,RRTXstatic,0
"(0, 0, 28)",3.0000000000000004,241.5,RRTXstatic,0
"(0, 0, 29)",0.3333333333333333,128.79999999999998,RRTXstatic,0
"(0, 0, 29)",0.9999999999999999,290.7,RRTXstatic,0
"(0, 0, 30)",0.3333333333333333,100009.91945848269,SST,1
"(0, 0, 31)",0.3333333333333333,100010.14191504917,SST,1
"(0, 0, 32)",0.3333333333333333,152.86666666666667,AITstar,0
"(0, 0, 32)",0.9999999999999999,484.3333333333333,AITstar,0
"(0, 0, 33)",0.3333333333333333,472.4666666666667,RRTstar,1
"(0, 0, 33)",0.9999999999999999,777.2999999999998,RRTstar,1
"(0, 0, 34)",0.3333333333333333,118.46666666666665,LBTRRT,1
"(0, 0, 34)",0.9999999999999999,91.53333333333335,LBTRRT,1
"(0, 0, 34)",3.0000000000000004,242.23333333333335,LBTRRT,1
"(0, 0, 35)",0.3333333333333333,359.1333333333334,AITstar,0
"(0, 0, 35)",0.9999999999999999,645.3000000000001,AITstar,0
"(0, 0, 36)",0.3333333333333333,100009.27325875883,SST,1
"(0, 0, 37)",0.3333333333333333,116.89999999999999,LBTRRT,1
"(0, 0, 37)",0.9999999999999999,174.4333333333333,LBTRRT,1
"(0, 0, 37)",3.0000000000000004,357.0,LBTRRT,1
"(0, 0, 38)",0.3333333333333333,187.79999999999998,AITstar,0
"(0, 0, 38)",0.9999999999999999,363.26666666666665,AITstar,0
"(0, 0, 39)",0.3333333333333333,90.03333333333332,LBTRRT,1
"(0, 0, 39)",0.9999999999999999,134.70000000000002,LBTRRT,1
"(0, 0, 39)",3.0000000000000004,300.3666666666667,LBTRRT,1
"(0, 0, 40)",0.3333333333333333,155.9,LBTRRT,1
"(0, 0, 40)",0.9999999999999999,211.86666666666665,LBTRRT,1
"(0, 0, 41)",0.3333333333333333,100010.27191598325,SST,0
"(0, 0, 42)",0.3333333333333333,118.10000000000001,LBTRRT,1
"(0, 0, 42)",0.9999999999999999,137.36666666666667,LBTRRT,1
"(0, 0, 42)",3.0000000000000004,274.90000000000003,LBTRRT,1
"(0, 0, 43)",0.3333333333333333,780.1999999999999,RRTXstatic,0
"(0, 0, 43)",0.9999999999999999,1195.1999999999998,RRTXstatic,0
"(0, 0, 44)",0.3333333333333333,303.1333333333333,RRTXstatic,0
"(0, 0, 44)",0.9999999999999999,378.7,RRTXstatic,0
"(0, 0, 45)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 46)",0.3333333333333333,121.66666666666664,RRTXstatic,1
"(0, 0, 46)",0.9999999999999999,100.26666666666667,RRTXstatic,1
"(0, 0, 46)",3.0000000000000004,208.5333333333333,RRTXstatic,1
"(0, 0, 47)",0.3333333333333333,100010.38039391172,SST,1
"(0, 0, 48)",0.3333333333333333,127.13333333333333,RRTstar,1
"(0, 0, 48)",0.9999999999999999,134.83333333333334,RRTstar,1
"(0, 0, 48)",3.0000000000000004,219.4333333333333,RRTstar,1
"(0, 0, 49)",0.3333333333333333,100009.29740277806,SST,0
"(0, 0, 50)",0.3333333333333333,100008.74394459517,SST,1
"(0, 0, 50)",0.9999999999999999,100008.73870857041,SST,1
"(0, 0, 51)",0.3333333333333333,100009.09196225186,SST,1
"(0, 0, 52)",0.3333333333333333,100009.7794181867,SST,1
"(0, 0, 53)",0.3333333333333333,100010.71842691248,SST,1
"(0, 0, 54)",0.3333333333333333,164.6,RRTstar,1
"(0, 0, 54)",0.9999999999999999,148.26666666666665,RRTstar,1
"(0, 0, 54)",3.0000000000000004,254.83333333333334,RRTstar,1
"(0, 0, 55)",0.3333333333333333,100009.03253647215,SST,1
"(0, 0, 56)",0.3333333333333333,100010.45476519615,SST,1
"(0, 0, 57)",0.3333333333333333,100009.98382375932,SST,1
"(0, 0, 58)",0.3333333333333333,100010.19766661878,SST,1
"(0, 0, 59)",0.3333333333333333,101.16666666666667,LBTRRT,1
"(0, 0, 59)",0.9999999999999999,141.66666666666666,LBTRRT,1
"(0, 0, 59)",3.0000000000000004,240.5666666666667,LBTRRT,1
"(0, 0, 60)",0.3333333333333333,187.33333333333334,RRTXstatic,0
"(0, 0, 60)",0.9999999999999999,299.7333333333333,RRTXstatic,0
"(0, 0, 61)",0.3333333333333333,100010.31847883893,SST,1
"(0, 0, 62)",0.3333333333333333,100009.2442901386,SST,1
"(0, 0, 63)",0.3333333333333333,100010.87061205861,SST,1
"(0, 0, 64)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 65)",0.3333333333333333,141.33333333333334,RRTstar,0
"(0, 0, 65)",0.9999999999999999,265.40000000000003,RRTstar,0
"(0, 0, 66)",0.3333333333333333,119.86666666666667,RRTXstatic,0
"(0, 0, 66)",0.9999999999999999,199.46666666666667,RRTXstatic,0
"(0, 0, 67)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 68)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 69)",0.3333333333333333,100009.44543571335,SST,1
"(0, 0, 70)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 71)",0.3333333333333333,110.76666666666665,RRTstar,0
"(0, 0, 71)",0.9999999999999999,231.63333333333333,RRTstar,0
"(0, 0, 72)",0.3333333333333333,100009.86747050541,SST,1
"(0, 0, 73)",0.3333333333333333,100010.21791506116,SST,1
"(0, 0, 74)",0.3333333333333333,100010.61726836865,SST,1
"(0, 0, 75)",0.3333333333333333,791.9333333333334,RRTXstatic,0
"(0, 0, 75)",0.9999999999999999,1552.3999999999999,RRTXstatic,0
"(0, 0, 76)",0.3333333333333333,100009.27325875883,BITstar,0
"(0, 0, 77)",0.3333333333333333,573.9333333333334,LBTRRT,0
"(0, 0, 77)",0.9999999999999999,1030.5666666666666,LBTRRT,0
"(0, 0, 78)",0.3333333333333333,67.89999999999999,RRTXstatic,0
"(0, 0, 78)",0.9999999999999999,140.46666666666667,RRTXstatic,0
"(0, 0, 78)",3.0000000000000004,226.96666666666667,RRTXstatic,0
"(0, 0, 79)",0.3333333333333333,100010.16932546553,SST,1
"(0, 0, 80)",0.3333333333333333,106.76666666666667,RRTstar,1
"(0, 0, 80)",0.9999999999999999,210.79999999999998,RRTstar,1
"(0, 0, 81)",0.3333333333333333,32.333333333333336,AITstar,0
"(0, 0, 81)",0.9999999999999999,31.0,AITstar,0
"(0, 0, 81)",3.0000000000000004,30.333333333333332,AITstar,0
"(0, 0, 81)",9.0,88.0,AITstar,0
"(0, 0, 82)",0.3333333333333333,164.63333333333333,LBTRRT,0
"(0, 0, 82)",0.9999999999999999,257.8333333333333,LBTRRT,0
"(0, 0, 83)",0.3333333333333333,100010.54685735698,SST,1
"(0, 0, 84)",0.3333333333333333,31.666666666666668,AITstar,0
"(0, 0, 84)",0.9999999999999999,31.666666666666668,AITstar,0
"(0, 0, 84)",3.0000000000000004,32.333333333333336,AITstar,0
"(0, 0, 84)",9.0,82.05,AITstar,0
"(0, 0, 85)",0.3333333333333333,100009.52727480243,SST,1
"(0, 0, 86)",0.3333333333333333,112.13333333333334,RRTstar,1
"(0, 0, 86)",0.9999999999999999,158.33333333333334,RRTstar,1
"(0, 0, 86)",3.0000000000000004,253.86666666666665,RRTstar,1
"(0, 0, 87)",0.3333333333333333,350.1666666666667,LBTRRT,0
"(0, 0, 87)",0.9999999999999999,456.5333333333333,LBTRRT,0
"(0, 0, 88)",0.3333333333333333,100010.30840961426,SST,1
"(0, 0, 89)",0.3333333333333333,100010.13670127747,SST,1
"(0, 0, 90)",0.3333333333333333,100010.26830262218,SST,1
"(0, 0, 91)",0.3333333333333333,100009.06179645802,SST,1
"(0, 0, 92)",0.3333333333333333,100009.10781864247,SST,0
"(0, 0, 93)",0.3333333333333333,100008.77770335118,SST,0
"(0, 0, 93)",0.9999999999999999,100007.15720294327,SST,0
"(0, 0, 94)",0.3333333333333333,120.36666666666666,RRTXstatic,1
"(0, 0, 94)",0.9999999999999999,156.23333333333332,RRTXstatic,1
"(0, 0, 94)",3.0000000000000004,338.3333333333333,RRTXstatic,1
"(0, 0, 95)",0.3333333333333333,100009.78268723853,SST,1
"(0, 0, 96)",0.3333333333333333,140.86666666666665,RRTXstatic,0
"(0, 0, 96)",0.9999999999999999,147.96666666666667,RRTXstatic,0
"(0, 0, 96)",3.0000000000000004,176.26666666666665,RRTXstatic,0
"(0, 0, 96)",9.0,629.3000000000001,RRTXstatic,0
"(0, 0, 97)",0.3333333333333333,545.1999999999999,AITstar,0
"(0, 0, 97)",0.9999999999999999,668.0666666666667,AITstar,0
"(0, 0, 98)",0.3333333333333333,100010.37439243507,SST,1
"(0, 0, 99)",0.3333333333333333,31.0,AITstar,0
"(0, 0, 99)",0.9999999999999999,31.666666666666668,AITstar,0
"(0, 0, 99)",3.0000000000000004,30.333333333333332,AITstar,0
"(0, 0, 99)",9.0,118.9833333333333,AITstar,0
"(0, 0, 100)",0.3333333333333333,158.03333333333333,RRTstar,1
"(0, 0, 100)",0.9999999999999999,228.19999999999996,RRTstar,1
"(0, 0, 101)",0.3333333333333333,100010.173463821,SST,1
"(0, 0, 102)",0.3333333333333333,100008.89773184748,SST,0
"(0, 0, 102)",0.9999999999999999,100008.29502933081,SST,0
"(0, 0, 103)",0.3333333333333333,100009.01898477254,SST,1
"(0, 0, 104)",0.3333333333333333,100009.29243286008,SST,1
"(0, 0, 105)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 106)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 107)",0.3333333333333333,626.5,LBTRRT,0
"(0, 0, 107)",0.9999999999999999,1261.2333333333333,LBTRRT,0
"(0, 0, 108)",0.3333333333333333,100010.66681998949,SST,1
"(0, 0, 109)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 110)",0.3333333333333333,177.26666666666665,RRTstar,1
"(0, 0, 110)",0.9999999999999999,226.63333333333333,RRTstar,1
"(0, 0, 111)",0.3333333333333333,100010.02707371539,SST,1
"(0, 0, 112)",0.3333333333333333,152.0,RRTXstatic,0
"(0, 0, 112)",0.9999999999999999,188.26666666666665,RRTXstatic,0
"(0, 0, 112)",3.0000000000000004,224.3333333333333,RRTXstatic,0
"(0, 0, 113)",0.3333333333333333,100010.21481098239,SST,1
"(0, 0, 114)",0.3333333333333333,100010.32587020488,SST,1
"(0, 0, 115)",0.3333333333333333,281.0333333333333,RRTstar,0
"(0, 0, 115)",0.9999999999999999,389.8,RRTstar,0
"(0, 0, 116)",0.3333333333333333,100009.27325875883,BITstar,1
"(0, 0, 117)",0.3333333333333333,250.83333333333334,AITstar,0
"(0, 0, 117)",0.9999999999999999,646.2666666666668,AITstar,0
"(0, 0, 118)",0.3333333333333333,100010.43665377986,SST,1
"(0, 0, 119)",0.3333333333333333,100010.09189003379,SST,1
"(0, 0, 120)",0.3333333333333333,100010.46305194245,SST,1
