id,budget,loss,planner,model_based
"(0, 0, 0)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 1)",27.0,100033.30658415113,PRM,0
"(0, 0, 2)",27.0,100003.60385453443,KPIECE,0
"(0, 0, 2)",81.0,100003.37775695724,KPIECE,0
"(0, 0, 3)",27.0,100076.0197943831,BiEST,0
"(0, 0, 4)",27.0,66690.15574651066,PRM,0
"(0, 0, 4)",81.0,100010.14333560893,PRM,0
"(0, 0, 5)",27.0,66840.70283164931,BKPIECE,0
"(0, 0, 5)",81.0,33753.978699677056,BKPIECE,0
"(0, 0, 6)",27.0,100011.79302236131,RRT,0
"(0, 0, 7)",27.0,66807.83700033801,BKPIECE,0
"(0, 0, 7)",81.0,33750.85859192297,BKPIECE,0
"(0, 0, 8)",27.0,100013.58860925958,PRM,0
"(0, 0, 9)",27.0,100007.71891836239,KPIECE,0
"(0, 0, 10)",27.0,100076.0197943831,BKPIECE,0
"(0, 0, 11)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 12)",27.0,66734.51905205002,BiEST,0
"(0, 0, 12)",81.0,100076.0197943831,BiEST,0
"(0, 0, 13)",27.0,66940.38654108196,BKPIECE,0
"(0, 0, 13)",81.0,33657.096442191796,BKPIECE,0
"(0, 0, 14)",27.0,100006.87187106402,RRT,0
"(0, 0, 15)",27.0,66820.84346164911,BKPIECE,0
"(0, 0, 15)",81.0,33527.998132752946,BKPIECE,0
"(0, 0, 16)",27.0,100007.20409846054,RRTConnect,0
"(0, 0, 17)",27.0,100008.67895349696,RRT,0
"(0, 0, 18)",27.0,33436.55274693585,SBL,0
"(0, 0, 18)",81.0,33440.86843383354,SBL,0
"(0, 0, 18)",243.0,128.210335246129,SBL,0
"(0, 0, 18)",729.0,146.47130793568383,SBL,0
"(0, 0, 19)",27.0,100003.13942174858,KPIECE,0
"(0, 0, 19)",81.0,100003.50703203538,KPIECE,0
"(0, 0, 20)",27.0,100012.32358911651,PRM,0
"(0, 0, 21)",27.0,66898.63118105543,LBKPIECE,1
"(0, 0, 21)",81.0,777.1079330800243,LBKPIECE,1
"(0, 0, 21)",243.0,610.1684353587585,LBKPIECE,1
"(0, 0, 22)",27.0,100076.0197943831,LazyPRM,1
"(0, 0, 23)",27.0,33436.82697838947,SBL,1
"(0, 0, 23)",81.0,33448.16633398856,SBL,1
"(0, 0, 23)",243.0,139.33521264067858,SBL,1
