id,budget,loss,planner,model_based
"(0, 0, 0)",27.0,100010.5371955391,RRTConnect,0
"(0, 0, 1)",27.0,100009.3844660268,RRTConnect,0
"(0, 0, 2)",27.0,33668.661865781854,LBKPIECE,0
"(0, 0, 2)",81.0,33725.08956042479,LBKPIECE,0
"(0, 0, 3)",27.0,100005.03279350752,KPIECE,0
"(0, 0, 4)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 5)",27.0,66763.22141154397,SBL,0
"(0, 0, 5)",81.0,33435.162483335276,SBL,0
"(0, 0, 5)",243.0,116.54844052684234,SBL,0
"(0, 0, 5)",729.0,132.40252525968893,SBL,0
"(0, 0, 5)",2187.0,127.42642795500967,SBL,0
"(0, 0, 6)",27.0,100010.08012262157,ProjEST,0
"(0, 0, 7)",27.0,100017.27107787742,PRM,0
"(0, 0, 8)",27.0,33386.5188425727,RRTConnect,0
"(0, 0, 8)",81.0,33387.43600206268,RRTConnect,0
"(0, 0, 8)",243.0,33387.956412526524,RRTConnect,0
"(0, 0, 9)",27.0,100003.14498285377,KPIECE,0
"(0, 0, 9)",81.0,100002.68483785936,KPIECE,0
"(0, 0, 10)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 11)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 12)",27.0,100015.8526549072,RRT,0
"(0, 0, 13)",27.0,100015.76851656711,EST,0
"(0, 0, 14)",27.0,100013.3841674063,RRTConnect,0
"(0, 0, 15)",27.0,66775.9394216008,BKPIECE,0
"(0, 0, 15)",81.0,66773.39324578785,BKPIECE,0
"(0, 0, 16)",27.0,66947.69474509936,LBKPIECE,0
"(0, 0, 16)",81.0,554.8338736989737,LBKPIECE,0
"(0, 0, 16)",243.0,782.3353623493558,LBKPIECE,0
"(0, 0, 17)",27.0,100012.20724496168,PRM,0
"(0, 0, 18)",27.0,67037.489195888,BKPIECE,0
"(0, 0, 18)",81.0,33774.53405361336,BKPIECE,0
"(0, 0, 19)",27.0,100076.0197943831,LazyPRM,0
"(0, 0, 20)",27.0,100021.15067398902,EST,0
"(0, 0, 21)",27.0,100011.33438813029,ProjEST,0
"(0, 0, 22)",27.0,66764.00633174567,SBL,0
"(0, 0, 22)",81.0,33440.21585306187,SBL,0
"(0, 0, 22)",243.0,135.74935774553902,SBL,0
"(0, 0, 23)",27.0,100076.0197943831,BiEST,1
"(0, 0, 24)",27.0,66762.91908333202,BiEST,1
"(0, 0, 24)",81.0,100076.0197943831,BiEST,1
"(0, 0, 25)",27.0,100003.71215873549,KPIECE,1
"(0, 0, 25)",81.0,100002.96419763111,KPIECE,1
"(0, 0, 26)",27.0,100004.12410925585,PDST,1
"(0, 0, 26)",81.0,100003.83999157778,PDST,1
"(0, 0, 27)",27.0,33448.06461104941,SBL,1
"(0, 0, 27)",81.0,33445.05069483009,SBL,1
"(0, 0, 28)",27.0,33445.42159319578,SBL,1
"(0, 0, 28)",81.0,33444.59651179406,SBL,1
"(0, 0, 28)",243.0,125.80723564988627,SBL,1
"(0, 0, 28)",729.0,152.20314812670432,SBL,1
"(0, 0, 29)",27.0,100023.32422353588,EST,0
"(0, 0, 30)",27.0,100076.0197943831,BiEST,1
"(0, 0, 31)",27.0,100003.39810304121,KPIECE,0
"(0, 0, 31)",81.0,100002.5043285605,KPIECE,0
"(0, 0, 32)",27.0,100020.66130712378,EST,1
"(0, 0, 33)",27.0,100022.66784846938,EST,1
"(0, 0, 34)",27.0,100076.0197943831,LazyPRM,1
"(0, 0, 35)",27.0,66799.35646344174,BKPIECE,1
"(0, 0, 35)",81.0,33728.328347001,BKPIECE,1
"(0, 0, 36)",27.0,100008.60632989625,RRT,0
"(0, 0, 37)",27.0,100011.04053207021,RRT,1
"(0, 0, 38)",27.0,100011.29232965014,ProjEST,0
"(0, 0, 39)",27.0,66695.09286509237,RRTConnect,0
"(0, 0, 39)",81.0,33390.84704891404,RRTConnect,0
"(0, 0, 39)",243.0,33385.751872789806,RRTConnect,0
"(0, 0, 40)",27.0,100009.60001794924,ProjEST,1
"(0, 0, 41)",27.0,100006.8467309072,PRM,1
"(0, 0, 42)",27.0,100004.55158726945,PDST,0
"(0, 0, 43)",27.0,100008.25005327858,ProjEST,0
"(0, 0, 44)",27.0,100005.04079234699,PDST,1
"(0, 0, 45)",27.0,100011.73255123931,PRM,1
"(0, 0, 46)",27.0,33621.38095656639,LBKPIECE,0
"(0, 0, 46)",81.0,33738.32310658506,LBKPIECE,0
"(0, 0, 47)",27.0,100002.9874996468,KPIECE,1
"(0, 0, 47)",81.0,100002.5738002344,KPIECE,1
"(0, 0, 48)",27.0,100018.3541518997,EST,1
"(0, 0, 49)",27.0,66945.89296443303,BKPIECE,1
"(0, 0, 49)",81.0,33834.411311197255,BKPIECE,1
"(0, 0, 50)",27.0,100010.70107773891,ProjEST,0
