id,budget,loss,planner,model_based
"(0, 0, 14)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 8)",0.3333333333333333,0.0,RRTXstatic,0
"(0, 0, 15)",0.3333333333333333,0.0,AITstar,0
"(0, 0, 18)",0.3333333333333333,0.0,RRTXstatic,0
"(0, 0, 1)",0.3333333333333333,0.0,RRTXstatic,0
"(0, 0, 13)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 2)",0.3333333333333333,0.0,RRTXstatic,0
"(0, 0, 4)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 10)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 6)",0.3333333333333333,0.0,LBTRRT,0
"(0, 0, 9)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 0)",0.3333333333333333,41.63333333333333,LBTRRT,0
"(0, 0, 22)",0.3333333333333333,12.799999999999992,LBTRRT,0
"(0, 0, 31)",0.3333333333333333,1.666666666666666,RRTXstatic,0
"(0, 0, 36)",0.3333333333333333,1.3999999999999997,RRTstar,0
"(0, 0, 42)",0.3333333333333333,1.799999999999999,AITstar,0
"(0, 0, 40)",0.3333333333333333,0.0,AITstar,0
"(0, 0, 41)",0.3333333333333333,28.666666666666668,LBTRRT,0
"(0, 0, 49)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 43)",0.3333333333333333,6.6000000000000005,RRTstar,1
"(0, 0, 55)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 56)",0.3333333333333333,10.733333333333334,LBTRRT,1
"(0, 0, 57)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 60)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 64)",0.3333333333333333,10.899999999999997,AITstar,0
"(0, 0, 61)",0.3333333333333333,0.09999999999999994,RRTXstatic,1
"(0, 0, 65)",0.3333333333333333,9.899999999999993,AITstar,0
"(0, 0, 66)",0.3333333333333333,0.0,LBTRRT,1
"(0, 0, 73)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 69)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 68)",0.3333333333333333,100007.82386243487,BITstar,1
"(0, 0, 74)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 78)",0.3333333333333333,11.866666666666662,RRTstar,0
"(0, 0, 85)",0.3333333333333333,8.6,RRTXstatic,1
"(0, 0, 84)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 87)",0.3333333333333333,3.2999999999999985,RRTXstatic,0
"(0, 0, 86)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 100)",0.3333333333333333,0.09999999999999994,RRTstar,1
"(0, 0, 97)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 95)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 99)",0.3333333333333333,26.899999999999995,RRTstar,0
"(0, 0, 101)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 103)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 102)",0.3333333333333333,100007.82386243487,BITstar,1
"(0, 0, 106)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 104)",0.3333333333333333,14.1,RRTXstatic,0
"(0, 0, 105)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 109)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 112)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 115)",0.3333333333333333,0.0,LBTRRT,1
"(0, 0, 114)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 119)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 117)",0.3333333333333333,17.933333333333326,LBTRRT,1
"(0, 0, 120)",0.3333333333333333,43.46666666666666,LBTRRT,1
"(0, 0, 122)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 128)",0.3333333333333333,4.866666666666666,LBTRRT,0
"(0, 0, 127)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 129)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 126)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 125)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 137)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 132)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 131)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 135)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 140)",0.3333333333333333,46.56666666666666,RRTstar,1
"(0, 0, 139)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 144)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 141)",0.3333333333333333,100007.82386243487,BITstar,1
"(0, 0, 145)",0.3333333333333333,10.533333333333333,RRTXstatic,1
"(0, 0, 147)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 148)",0.3333333333333333,0.39999999999999974,LBTRRT,0
"(0, 0, 152)",0.3333333333333333,2.4999999999999987,LBTRRT,0
"(0, 0, 146)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 151)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 153)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 155)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 154)",0.3333333333333333,5.9999999999999964,RRTXstatic,1
"(0, 0, 162)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 156)",0.3333333333333333,0.0,RRTstar,1
"(0, 0, 157)",0.3333333333333333,1.599999999999999,RRTstar,1
"(0, 0, 161)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 160)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 163)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 167)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 175)",0.3333333333333333,3.8999999999999972,LBTRRT,1
"(0, 0, 177)",0.3333333333333333,6.099999999999997,RRTXstatic,0
"(0, 0, 174)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 182)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 181)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 185)",0.3333333333333333,4.3999999999999995,LBTRRT,0
"(0, 0, 190)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 194)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 188)",0.3333333333333333,100007.82386243487,BITstar,1
"(0, 0, 191)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 193)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 189)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 198)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 201)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 212)",0.3333333333333333,18.13333333333333,RRTstar,0
"(0, 0, 210)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 213)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 211)",0.3333333333333333,22.53333333333333,RRTstar,0
"(0, 0, 217)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 215)",0.3333333333333333,100007.82386243487,BITstar,0
"(0, 0, 233)",0.3333333333333333,100007.82386243487,SST,0
"(0, 0, 236)",0.3333333333333333,19.9,RRTstar,0
"(0, 0, 235)",0.3333333333333333,6.23333333333333,LBTRRT,0
"(0, 0, 238)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 239)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 245)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 246)",0.3333333333333333,17.666666666666668,AITstar,1
"(0, 0, 247)",0.3333333333333333,100007.82386243487,SST,1
"(0, 0, 242)",0.3333333333333333,100007.82386243487,SST,1
