id,budget,loss,planner,model_based
"(0, 0, 0)",9.0,100068.31224920158,LazyPRM,0
"(0, 0, 1)",9.0,100068.31224920158,BKPIECE,0
"(0, 0, 2)",9.0,100047.51124960522,RRTConnect,0
"(0, 0, 3)",9.0,100068.31224920158,BKPIECE,0
"(0, 0, 4)",9.0,100068.31224920158,EST,0
"(0, 0, 5)",9.0,100068.31224920158,LBKPIECE,0
"(0, 0, 6)",9.0,100024.06790789618,PDST,0
"(0, 0, 6)",27.0,100013.75188946573,PDST,0
"(0, 0, 7)",9.0,100068.31224920158,BKPIECE,0
"(0, 0, 8)",9.0,100018.0569662376,PDST,0
"(0, 0, 8)",27.0,100013.36093587476,PDST,0
"(0, 0, 9)",9.0,100088.51176922974,RRT,0
"(0, 0, 10)",9.0,100038.51795220247,RRT,0
"(0, 0, 10)",27.0,100022.36126197786,RRT,0
"(0, 0, 11)",9.0,66731.08251847145,RRTConnect,0
"(0, 0, 11)",27.0,100066.13322352605,RRTConnect,0
"(0, 0, 12)",9.0,100018.5285684844,KPIECE,0
"(0, 0, 12)",27.0,100008.77575704087,KPIECE,0
"(0, 0, 12)",81.0,100007.26436939085,KPIECE,0
"(0, 0, 12)",243.0,100006.80018519703,KPIECE,0
"(0, 0, 13)",9.0,100011.53654263222,KPIECE,0
"(0, 0, 13)",27.0,100011.76062614484,KPIECE,0
"(0, 0, 13)",81.0,100008.98706619511,KPIECE,0
"(0, 0, 14)",9.0,100049.06548576294,ProjEST,0
"(0, 0, 15)",9.0,100017.03822801041,KPIECE,0
"(0, 0, 15)",27.0,100012.02021986136,KPIECE,0
"(0, 0, 15)",81.0,100009.50986581905,KPIECE,0
"(0, 0, 16)",9.0,100069.18359473592,RRTConnect,0
"(0, 0, 17)",9.0,100068.31224920158,LBKPIECE,0
"(0, 0, 18)",9.0,100055.94609404072,EST,0
"(0, 0, 19)",9.0,100068.31224920158,SBL,0
"(0, 0, 20)",9.0,100026.47388046852,EST,0
"(0, 0, 20)",27.0,100026.41545208315,EST,0
"(0, 0, 21)",9.0,100068.64612966233,LBKPIECE,0
"(0, 0, 22)",9.0,100019.85551603611,PDST,0
"(0, 0, 22)",27.0,100014.10526681494,PDST,0
"(0, 0, 23)",9.0,100033.10730708732,EST,0
"(0, 0, 23)",27.0,100022.98905118067,EST,0
"(0, 0, 24)",9.0,100047.13958598231,RRT,0
"(0, 0, 24)",27.0,100045.5266986908,RRT,0
"(0, 0, 25)",9.0,100068.31224920158,BKPIECE,1
"(0, 0, 26)",9.0,100068.31224920158,LazyPRM,1
"(0, 0, 27)",9.0,100052.9048046323,EST,1
"(0, 0, 28)",9.0,100069.00386515992,RRTConnect,1
"(0, 0, 29)",9.0,100025.63414088458,KPIECE,0
"(0, 0, 29)",27.0,100012.61413276092,KPIECE,0
"(0, 0, 29)",81.0,100009.74895597842,KPIECE,0
"(0, 0, 30)",9.0,100013.39554355199,STRIDE,0
"(0, 0, 30)",27.0,100009.19479612254,STRIDE,0
"(0, 0, 30)",81.0,100011.62946136878,STRIDE,0
"(0, 0, 31)",9.0,100044.38152352329,RRT,1
"(0, 0, 31)",27.0,100011.95363899662,RRT,1
"(0, 0, 31)",81.0,100011.14729244185,RRT,1
"(0, 0, 32)",9.0,100052.87687690854,EST,1
"(0, 0, 33)",9.0,100069.22910097445,EST,1
"(0, 0, 34)",9.0,66800.9436771766,BKPIECE,0
"(0, 0, 34)",27.0,100068.31224920158,BKPIECE,0
"(0, 0, 35)",9.0,100029.89166143684,EST,1
"(0, 0, 35)",27.0,100032.79525724887,EST,1
