id,budget,loss,planner,model_based
"(0, 0, 2)",0.3333333333333333,100007.98789354926,SST,0
"(0, 0, 0)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 5)",0.3333333333333333,100008.77617423185,SST,0
"(0, 0, 7)",0.3333333333333333,41.0,AITstar,0
"(0, 0, 1)",0.3333333333333333,37.4,RRTstar,0
"(0, 0, 3)",0.3333333333333333,40.23333333333333,RRTXstatic,0
"(0, 0, 4)",0.3333333333333333,31.0,AITstar,0
"(0, 0, 6)",0.3333333333333333,36.266666666666666,LBTRRT,0
"(0, 0, 8)",0.3333333333333333,32.76666666666667,RRTstar,0
"(0, 0, 9)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 10)",0.3333333333333333,28.766666666666666,RRTXstatic,0
"(0, 0, 11)",0.3333333333333333,50.666666666666664,RRTstar,0
"(0, 0, 12)",0.3333333333333333,74.06666666666666,RRTXstatic,0
"(0, 0, 13)",0.3333333333333333,28.13333333333333,RRTXstatic,0
"(0, 0, 14)",0.3333333333333333,99.86666666666666,RRTXstatic,0
"(0, 0, 15)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 18)",0.3333333333333333,39.49999999999999,LBTRRT,0
"(0, 0, 17)",0.3333333333333333,605.1999999999999,AITstar,0
"(0, 0, 16)",0.3333333333333333,30.333333333333332,AITstar,0
"(0, 0, 20)",0.3333333333333333,87.66666666666667,AITstar,0
"(0, 0, 21)",0.3333333333333333,111.36666666666667,LBTRRT,0
"(0, 0, 19)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 22)",0.3333333333333333,100008.81631201178,SST,0
"(0, 0, 23)",0.3333333333333333,28.799999999999997,LBTRRT,0
"(0, 0, 24)",0.3333333333333333,36.9,LBTRRT,0
"(0, 0, 27)",0.3333333333333333,100008.97464024577,SST,1
"(0, 0, 25)",0.3333333333333333,108.33333333333333,RRTstar,0
"(0, 0, 26)",0.3333333333333333,38.06666666666667,RRTXstatic,0
"(0, 0, 28)",0.3333333333333333,37.43333333333334,RRTstar,1
"(0, 0, 29)",0.3333333333333333,24.099999999999998,RRTXstatic,0
"(0, 0, 31)",0.3333333333333333,130.56666666666666,RRTstar,0
"(0, 0, 30)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 32)",0.3333333333333333,100007.66459815566,SST,1
"(0, 0, 33)",0.3333333333333333,49.56666666666666,RRTXstatic,0
"(0, 0, 35)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 34)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 36)",0.3333333333333333,100008.03913200076,SST,1
"(0, 0, 37)",0.3333333333333333,100008.5811265934,SST,0
"(0, 0, 39)",0.3333333333333333,100008.69733390042,SST,0
"(0, 0, 38)",0.3333333333333333,34.06666666666667,RRTstar,1
"(0, 0, 41)",0.3333333333333333,37.46666666666666,LBTRRT,0
"(0, 0, 40)",0.3333333333333333,100.73333333333335,RRTstar,0
"(0, 0, 43)",0.3333333333333333,51.03333333333333,RRTstar,0
"(0, 0, 42)",0.3333333333333333,100008.55687506474,SST,1
"(0, 0, 44)",0.3333333333333333,100008.26084645758,SST,1
"(0, 0, 46)",0.3333333333333333,100008.74885666673,SST,1
"(0, 0, 47)",0.3333333333333333,28.266666666666662,RRTXstatic,1
"(0, 0, 45)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 48)",0.3333333333333333,28.433333333333326,RRTstar,0
"(0, 0, 49)",0.3333333333333333,39.199999999999996,RRTXstatic,0
"(0, 0, 50)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 51)",0.3333333333333333,40.56666666666666,RRTXstatic,0
"(0, 0, 52)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 54)",0.3333333333333333,100011.15506132673,SST,0
"(0, 0, 53)",0.3333333333333333,100009.25686066452,SST,0
"(0, 0, 55)",0.3333333333333333,100010.051359048,SST,0
"(0, 0, 56)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 57)",0.3333333333333333,29.666666666666668,AITstar,1
"(0, 0, 59)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 58)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 61)",0.3333333333333333,50.26666666666666,RRTstar,0
"(0, 0, 60)",0.3333333333333333,29.0,AITstar,0
"(0, 0, 62)",0.3333333333333333,100007.92864697326,SST,1
"(0, 0, 65)",0.3333333333333333,100011.16042772097,SST,0
"(0, 0, 63)",0.3333333333333333,100007.57712225604,SST,1
"(0, 0, 64)",0.3333333333333333,100008.55706674237,SST,1
"(0, 0, 67)",0.3333333333333333,30.566666666666666,RRTstar,1
"(0, 0, 66)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 68)",0.3333333333333333,100008.97252914943,SST,0
"(0, 0, 69)",0.3333333333333333,26.166666666666668,RRTXstatic,1
"(0, 0, 70)",0.3333333333333333,100008.77698940756,SST,0
"(0, 0, 73)",0.3333333333333333,100008.38863797947,SST,1
"(0, 0, 74)",0.3333333333333333,100008.19305570424,SST,1
"(0, 0, 72)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 75)",0.3333333333333333,30.5,RRTstar,1
"(0, 0, 77)",0.3333333333333333,100008.03323360269,SST,1
"(0, 0, 76)",0.3333333333333333,32.300000000000004,RRTstar,1
"(0, 0, 78)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 71)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 79)",0.3333333333333333,29.666666666666668,AITstar,0
"(0, 0, 80)",0.3333333333333333,30.333333333333332,AITstar,1
"(0, 0, 84)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 82)",0.3333333333333333,600.4,AITstar,0
"(0, 0, 83)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 81)",0.3333333333333333,100011.37422990818,BITstar,0
"(0, 0, 86)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 85)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 87)",0.3333333333333333,100008.26265297919,SST,1
"(0, 0, 88)",0.3333333333333333,32.666666666666664,LBTRRT,0
"(0, 0, 90)",0.3333333333333333,107.4,RRTXstatic,0
"(0, 0, 89)",0.3333333333333333,141.79999999999998,RRTstar,0
"(0, 0, 91)",0.3333333333333333,100008.68265052345,SST,1
"(0, 0, 92)",0.3333333333333333,26.066666666666663,LBTRRT,0
"(0, 0, 94)",0.3333333333333333,100009.74181204387,SST,0
"(0, 0, 93)",0.3333333333333333,100008.84488082393,SST,1
"(0, 0, 95)",0.3333333333333333,100009.78382705792,SST,1
"(0, 0, 96)",0.3333333333333333,100008.86114322416,SST,1
"(0, 0, 97)",0.3333333333333333,32.666666666666664,LBTRRT,1
"(0, 0, 98)",0.3333333333333333,100008.50570801199,SST,1
"(0, 0, 100)",0.3333333333333333,29.799999999999997,RRTstar,1
"(0, 0, 99)",0.3333333333333333,100011.37422990818,BITstar,1
"(0, 0, 101)",0.3333333333333333,37.76666666666667,RRTstar,1
"(0, 0, 102)",0.3333333333333333,35.46666666666667,LBTRRT,1
"(0, 0, 103)",0.3333333333333333,100.96666666666665,LBTRRT,0
"(0, 0, 106)",0.3333333333333333,100008.80995429277,SST,0
"(0, 0, 104)",0.3333333333333333,37.06666666666667,RRTstar,1
"(0, 0, 107)",0.3333333333333333,29.666666666666668,AITstar,0
"(0, 0, 109)",0.3333333333333333,100008.5636505144,SST,0
"(0, 0, 108)",0.3333333333333333,100011.37422990818,BITstar,1
