id,budget,loss,planner,model_based
"(0, 0, 3)",0.3333333333333333,208.9333333333333,LBTRRT,0
"(0, 0, 4)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 8)",0.3333333333333333,100006.8979134236,SST,0
"(0, 0, 5)",0.3333333333333333,100006.8979134236,SST,0
"(0, 0, 0)",0.3333333333333333,100006.8979134236,SST,0
"(0, 0, 1)",0.3333333333333333,354.6666666666667,LBTRRT,0
"(0, 0, 9)",0.3333333333333333,144.56666666666663,LBTRRT,0
"(0, 0, 2)",0.3333333333333333,275.2,LBTRRT,0
"(0, 0, 7)",0.3333333333333333,236.13333333333333,LBTRRT,0
"(0, 0, 6)",0.3333333333333333,340.76666666666665,LBTRRT,0
"(0, 0, 11)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 10)",0.3333333333333333,177.36666666666665,RRTstar,0
"(0, 0, 12)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 16)",0.3333333333333333,261.3333333333333,RRTXstatic,0
"(0, 0, 14)",0.3333333333333333,283.26666666666665,LBTRRT,0
"(0, 0, 19)",0.3333333333333333,246.46666666666667,AITstar,0
"(0, 0, 15)",0.3333333333333333,214.83333333333334,RRTstar,0
"(0, 0, 13)",0.3333333333333333,246.96666666666667,RRTXstatic,0
"(0, 0, 18)",0.3333333333333333,650.8666666666667,AITstar,0
"(0, 0, 17)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 20)",0.3333333333333333,148.20000000000002,LBTRRT,0
"(0, 0, 21)",0.3333333333333333,30.333333333333332,AITstar,0
"(0, 0, 22)",0.3333333333333333,33.8,AITstar,0
"(0, 0, 23)",0.3333333333333333,423.26666666666665,AITstar,0
"(0, 0, 24)",0.3333333333333333,243.9666666666666,LBTRRT,0
"(0, 0, 26)",0.3333333333333333,59.0,AITstar,0
"(0, 0, 28)",0.3333333333333333,100007.68178796867,BITstar,0
"(0, 0, 25)",0.3333333333333333,206.5333333333333,RRTstar,0
"(0, 0, 27)",0.3333333333333333,262.5333333333333,RRTXstatic,0
"(0, 0, 29)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 30)",0.3333333333333333,173.19999999999996,LBTRRT,0
"(0, 0, 31)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 32)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 33)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 36)",0.3333333333333333,100006.8979134236,SST,0
"(0, 0, 38)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 34)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 37)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 35)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 40)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 39)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 41)",0.3333333333333333,212.9666666666666,RRTXstatic,0
"(0, 0, 42)",0.3333333333333333,126.66666666666667,LBTRRT,0
"(0, 0, 43)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 44)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 46)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 47)",0.3333333333333333,100006.8979134236,SST,0
"(0, 0, 45)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 48)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 51)",0.3333333333333333,484.86666666666673,LBTRRT,0
"(0, 0, 52)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 53)",0.3333333333333333,100006.8979134236,BITstar,0
"(0, 0, 54)",0.3333333333333333,505.2,RRTXstatic,0
"(0, 0, 55)",0.3333333333333333,664.0666666666666,AITstar,0
"(0, 0, 56)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 50)",0.3333333333333333,100006.8979134236,BITstar,1
"(0, 0, 57)",0.3333333333333333,100006.8979134236,SST,1
"(0, 0, 49)",0.3333333333333333,100006.8979134236,BITstar,1
