id,budget,loss,planner,model_based
"(0, 0, 0)",9.0,100049.17617039906,LazyPRM,0
"(0, 0, 1)",9.0,100019.62038353724,PDST,0
"(0, 0, 1)",27.0,100003.64485806225,PDST,0
"(0, 0, 1)",81.0,100002.41173797543,PDST,0
"(0, 0, 2)",9.0,100037.95410080923,STRIDE,0
"(0, 0, 2)",27.0,100016.23367241262,STRIDE,0
"(0, 0, 2)",81.0,100018.7458344088,STRIDE,0
"(0, 0, 3)",9.0,100047.44308542088,PRM,0
"(0, 0, 3)",27.0,100045.6685424281,PRM,0
"(0, 0, 4)",9.0,100049.17617039906,EST,0
"(0, 0, 5)",9.0,100049.17617039906,LazyPRM,0
"(0, 0, 6)",9.0,100037.28385675569,RRTConnect,0
"(0, 0, 6)",27.0,100049.17617039906,RRTConnect,0
"(0, 0, 7)",9.0,100027.22920339974,STRIDE,0
"(0, 0, 7)",27.0,100003.43965532786,STRIDE,0
"(0, 0, 7)",81.0,100012.00819448677,STRIDE,0
"(0, 0, 8)",9.0,100049.17617039906,ProjEST,0
"(0, 0, 9)",9.0,100049.17617039906,EST,0
"(0, 0, 10)",9.0,100049.17617039906,RRTConnect,0
"(0, 0, 11)",9.0,100049.17617039906,BKPIECE,0
"(0, 0, 12)",9.0,100035.53686086013,STRIDE,0
"(0, 0, 12)",27.0,100028.38583046955,STRIDE,0
"(0, 0, 13)",9.0,100007.36007198009,PDST,0
"(0, 0, 13)",27.0,100010.8988241518,PDST,0
"(0, 0, 13)",81.0,100002.42750504636,PDST,0
"(0, 0, 14)",9.0,100049.17617039906,BKPIECE,0
"(0, 0, 15)",9.0,100049.17617039906,BKPIECE,0
"(0, 0, 16)",9.0,66788.39899307003,LBKPIECE,0
"(0, 0, 16)",27.0,66957.8668998416,LBKPIECE,0
"(0, 0, 16)",81.0,33641.38982822377,LBKPIECE,0
"(0, 0, 16)",243.0,33830.77480058827,LBKPIECE,0
"(0, 0, 16)",729.0,520.210197022051,LBKPIECE,0
"(0, 0, 17)",9.0,100049.17617039906,ProjEST,0
"(0, 0, 18)",9.0,100049.17617039906,EST,0
"(0, 0, 19)",9.0,100047.14065555569,PRM,0
"(0, 0, 19)",27.0,100048.37955509081,PRM,0
"(0, 0, 20)",9.0,100048.71830067092,PRM,0
"(0, 0, 20)",27.0,100047.16386215,PRM,0
"(0, 0, 21)",9.0,100049.17617039906,LazyPRM,0
"(0, 0, 22)",9.0,100059.61410836269,ProjEST,1
"(0, 0, 23)",9.0,100049.17617039906,LBKPIECE,1
"(0, 0, 24)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 25)",9.0,100013.40763778162,PDST,0
"(0, 0, 25)",27.0,100002.86309520144,PDST,0
"(0, 0, 25)",81.0,100001.81707128782,PDST,0
"(0, 0, 25)",243.0,100001.69821282732,PDST,0
"(0, 0, 26)",9.0,100052.90107998677,ProjEST,1
"(0, 0, 27)",9.0,100024.91556309485,ProjEST,1
"(0, 0, 27)",27.0,100042.23196487072,ProjEST,1
"(0, 0, 28)",9.0,100049.17617039906,EST,1
"(0, 0, 29)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 30)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 31)",9.0,100027.16171096696,STRIDE,0
"(0, 0, 31)",27.0,100007.70898987235,STRIDE,0
"(0, 0, 31)",81.0,100003.59091922014,STRIDE,0
"(0, 0, 32)",9.0,100049.17617039906,EST,1
"(0, 0, 33)",9.0,100044.4100854916,PRM,1
"(0, 0, 33)",27.0,100046.30969162897,PRM,1
"(0, 0, 34)",9.0,100049.13097046084,PRM,1
"(0, 0, 35)",9.0,100046.8231901863,PRM,0
"(0, 0, 35)",27.0,100048.61121734003,PRM,0
"(0, 0, 36)",9.0,100049.17617039906,EST,1
"(0, 0, 37)",9.0,100049.17617039906,SBL,1
"(0, 0, 38)",9.0,100049.17617039906,RRT,1
"(0, 0, 39)",9.0,100049.17617039906,RRTConnect,1
"(0, 0, 40)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 41)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 42)",9.0,100049.17617039906,BiEST,0
"(0, 0, 43)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 44)",9.0,100049.17617039906,EST,1
"(0, 0, 45)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 46)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 47)",9.0,100048.2888395008,PRM,1
"(0, 0, 47)",27.0,100047.89300055569,PRM,1
"(0, 0, 48)",9.0,100055.91279576237,EST,1
"(0, 0, 49)",9.0,100049.17617039906,LazyPRM,0
"(0, 0, 50)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 51)",9.0,100049.17617039906,LBKPIECE,0
"(0, 0, 52)",9.0,100049.17617039906,RRTConnect,1
"(0, 0, 53)",9.0,100049.17617039906,EST,1
"(0, 0, 54)",9.0,66723.88917822648,RRTConnect,1
"(0, 0, 54)",27.0,66719.92442756475,RRTConnect,1
"(0, 0, 54)",81.0,100049.17617039906,RRTConnect,1
"(0, 0, 55)",9.0,100049.17617039906,RRTConnect,0
"(0, 0, 56)",9.0,100048.8920741448,PRM,1
"(0, 0, 56)",27.0,100046.69913590544,PRM,1
"(0, 0, 57)",9.0,100046.30598206197,PRM,1
"(0, 0, 57)",27.0,100047.45169622956,PRM,1
"(0, 0, 58)",9.0,100049.17617039906,ProjEST,1
"(0, 0, 59)",9.0,100049.17617039906,SBL,0
"(0, 0, 60)",9.0,100049.17617039906,BKPIECE,0
"(0, 0, 61)",9.0,100049.17617039906,EST,1
"(0, 0, 62)",9.0,100049.17617039906,EST,1
"(0, 0, 63)",9.0,100052.6400099466,RRTConnect,0
"(0, 0, 64)",9.0,100044.20824031043,ProjEST,1
"(0, 0, 64)",27.0,100055.54442713573,ProjEST,1
"(0, 0, 65)",9.0,100049.17617039906,ProjEST,0
"(0, 0, 66)",9.0,100047.72947731162,EST,1
"(0, 0, 66)",27.0,100044.73171885312,EST,1
"(0, 0, 67)",9.0,100048.69430646823,PRM,1
"(0, 0, 67)",27.0,100046.35947385582,PRM,1
"(0, 0, 68)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 69)",9.0,100079.1682234363,RRTConnect,1
"(0, 0, 70)",9.0,100047.85156692647,PRM,1
"(0, 0, 70)",27.0,100045.63557525502,PRM,1
"(0, 0, 71)",9.0,100049.17617039906,BiEST,0
"(0, 0, 72)",9.0,100049.17617039906,RRT,0
"(0, 0, 73)",9.0,100049.17617039906,LazyPRM,1
"(0, 0, 74)",9.0,100013.28953773076,PDST,0
"(0, 0, 74)",27.0,100002.98811378481,PDST,0
"(0, 0, 74)",81.0,100002.0605155482,PDST,0
"(0, 0, 74)",243.0,100001.57860356038,PDST,0
"(0, 0, 75)",9.0,100049.17617039906,LazyPRM,0
"(0, 0, 76)",9.0,100047.35503943631,PRM,0
"(0, 0, 76)",27.0,100045.25864810572,PRM,0
"(0, 0, 77)",9.0,100049.17617039906,SBL,1
"(0, 0, 78)",9.0,100047.11448874367,PRM,1
"(0, 0, 78)",27.0,100049.09062664375,PRM,1
"(0, 0, 79)",9.0,100048.40233076486,PRM,1
"(0, 0, 79)",27.0,100048.22287128087,PRM,1
"(0, 0, 80)",9.0,100049.17617039906,RRT,0
"(1, 0, 0)",27.0,100049.17617039906,RRTConnect,1
"(1, 0, 1)",27.0,100049.17617039906,EST,1
"(1, 0, 2)",27.0,100049.22618437155,ProjEST,1
"(1, 0, 3)",27.0,100042.41717164252,ProjEST,1
"(1, 0, 3)",81.0,100022.5825650876,ProjEST,1
"(1, 0, 4)",27.0,100049.17617039906,LazyPRM,1
"(1, 0, 5)",27.0,100060.55037674979,ProjEST,1
"(1, 0, 6)",27.0,100063.16293918446,EST,1
"(1, 0, 7)",27.0,100040.40320712217,RRT,1
"(1, 0, 7)",81.0,100028.08682532504,RRT,1
"(1, 0, 8)",27.0,100049.17617039906,BiEST,1
"(1, 0, 9)",27.0,100049.17617039906,BiEST,1
"(1, 0, 10)",27.0,100047.88363479904,PRM,1
"(1, 0, 11)",27.0,100044.75729522253,EST,1
"(1, 0, 12)",27.0,66792.2925542653,LBKPIECE,0
"(1, 0, 12)",81.0,33540.80990069788,LBKPIECE,0
"(1, 0, 12)",243.0,221.17339169862,LBKPIECE,0
"(1, 0, 12)",729.0,297.6090431813864,LBKPIECE,0
"(1, 0, 13)",27.0,66753.12725522624,BKPIECE,1
"(1, 0, 13)",81.0,66777.09333757019,BKPIECE,1
"(1, 0, 14)",27.0,100002.4513040252,STRIDE,1
"(1, 0, 14)",81.0,66694.71488908066,STRIDE,1
"(1, 0, 15)",27.0,100006.68560461549,STRIDE,1
"(1, 0, 15)",81.0,100003.0124137383,STRIDE,1
"(1, 0, 16)",27.0,100049.17617039906,LBKPIECE,0
"(1, 0, 17)",27.0,66765.82799266734,LBKPIECE,0
"(1, 0, 17)",81.0,33543.42821539645,LBKPIECE,0
"(1, 0, 17)",243.0,275.77738191431496,LBKPIECE,0
"(1, 0, 18)",27.0,100043.33070406097,EST,1
"(1, 0, 19)",27.0,100073.93149019696,EST,1
"(1, 0, 20)",27.0,100049.17617039906,BKPIECE,0
"(1, 0, 21)",27.0,100025.67613788742,STRIDE,1
"(1, 0, 21)",81.0,100002.35183738808,STRIDE,1
"(1, 0, 22)",27.0,100049.17617039906,EST,1
"(1, 0, 23)",27.0,100049.17617039906,RRT,0
"(1, 0, 24)",27.0,66802.45221315579,LBKPIECE,0
"(1, 0, 24)",81.0,33541.73685092863,LBKPIECE,0
"(1, 0, 24)",243.0,320.98141980622876,LBKPIECE,0
"(1, 0, 25)",27.0,100047.89750568072,PRM,1
"(1, 0, 26)",27.0,100049.17617039906,LazyPRM,0
"(2, 0, 0)",81.0,100002.32475007717,PDST,1
"(2, 0, 0)",243.0,66691.78249373367,PDST,1
"(2, 0, 0)",729.0,100001.51632224639,PDST,1
"(2, 0, 1)",81.0,100002.82770591776,STRIDE,1
"(2, 0, 2)",81.0,100049.17617039906,LazyPRM,1
"(2, 0, 3)",81.0,100049.17617039906,BKPIECE,0
"(2, 0, 4)",81.0,100036.86655452267,EST,1
"(2, 0, 5)",81.0,100049.17617039906,SBL,0
"(2, 0, 6)",81.0,100002.1603850682,PDST,0
"(2, 0, 6)",243.0,100001.66625599378,PDST,0
"(2, 0, 7)",81.0,100016.03480295015,KPIECE,0
"(2, 0, 8)",81.0,66741.07137494044,SBL,1
"(2, 0, 8)",243.0,66760.939287177,SBL,1
"(3, 0, 0)",243.0,100049.17617039906,LazyPRM,1
"(3, 0, 1)",243.0,100049.17617039906,LazyPRM,1
"(3, 0, 2)",243.0,100001.68643191624,KPIECE,1
"(3, 0, 2)",729.0,66814.68688338283,KPIECE,1
"(3, 0, 3)",243.0,100049.17617039906,BKPIECE,0
"(3, 0, 4)",243.0,100027.62855474197,RRT,1
"(3, 0, 4)",729.0,100005.81712761882,RRT,1
"(3, 0, 5)",243.0,100028.38816991991,ProjEST,1
